Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2015SELWY11,Clearwater Hat.,Selway,2015,"382,164","17,088","11,962",31.5,115,SELWY1,1
2015CLEARC1,Clearwater Hat.,Clear Cr ,2015,"673,391","9,779","6,846",97.9,116,CLEARC,1
2015SAWT1,Sawtooth,Weir,2015,"1,348,380","18,861","13,205",101.7,117,SAWT,1
2015PAHP1,Pahsimeroi,Ponds,2015,"628,975","21,369","14,986",41.5,118,PAHP,1
2015KOOS1,Kooskia - Ad,Clear Cr,2015,"661,441","5,793","4,085",161.5,119,KOOS,1
2015YANKFK1,Sawtooth,Yankee Fork,2015,"183,379","2,496","1,747",104.5,120,YANKFK,1
2016KNOXB1,McCall (Seg),SFSR-Knox,2016,"874,020"," 25,948 ","18,264",47.4,121,KNOXB,1
2016KNOXB91,McCall (Int),SFSR-Knox,2016,"154,362"," 25,940 ","18,173",8.1,122,KNOXB,91
2016RAPH1,Rapid River,Rapid R. Hat,2016,"2,505,250"," 51,900 ","36,442",68.3,123,RAPH,1
2016DWORNF1,Dworshak,NF-DHFH,2016,"1,454,208","40,878","28,740",50.2,124,DWORNF,1
2016POWP1,Clearwater Hat.,Powell (summers),2016,"244,485","25,468","17,828",13.3,125,POWP,1
2016REDP1,Clearwater Hat.,Red,2016,"1,272,709","17,071","11,950",106.1,126,REDP,1
2016SELWY11,Clearwater Hat.,Selway,2016,"464,568","17,093","11,965",38.4,127,SELWY1,1
2016CLEARC1,Clearwater Hat.,Clear Cr ,2016,"791,578","9,488","6,442",122.4,128,CLEARC,1
2016CLWHNF1,Clearwater Hat.,NF Clearwater,2016,"489,072","17,081","11,957",40.5,129,CLWHNF,1
2016SAWT1,Sawtooth,Weir,2016,"1,462,350","18,845","13,190",110.4,130,SAWT,1
2016PAHP1,Pahsimeroi,Ponds,2016,"1,040,466","21,331","14,928",69.3,131,PAHP,1
2016KOOS1,Kooskia ,Clear Cr,2016,"605,115","7,941","5,562",108.4,132,KOOS,1
2016YANKFK1,Sawtooth,Yankee Fork,2016,"189,786","2,494","1,745",108.3,133,YANKFK,1
2017KNOXB1,McCall (Seg),SFSR-Knox,2017,"945,306","25,919","18,143",51.7,134,KNOXB,1
2017KNOXB91,McCall (Int),SFSR-Knox,2017,"162,604","25,938","18,157",8.5,135,KNOXB,91
2017RAPH1,Rapid River,Rapid R. Hat,2017,"3,016,522","51,902","36,331",82.6,136,RAPH,1
2017DWORNF1,Dworshak,NF-DHFH,2017,"1,498,736","41,916","29,341",50.7,137,DWORNF,1
2017POWP1,Clearwater Hat.,Powell (summers),2017,"615,717","25,468","17,828",34.1,138,POWP,1
2017REDP1,Clearwater Hat.,Red,2017,"1,289,680","17,082","11,957",107.4,139,REDP,1
