Expansion_Reference	Hatchery	Release_Site	PTAGIS_RelSite	Random	PBTcode	MJB PBT Release Group 1	MJB PBT Release Group 2	MJB PBT Release Group 3	MJB PBT Release Group 4
2016SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2014-CLWH-Powell-SelwayR-AD	2014-CLWH-Powell-SelwayR-Adint	2014-CLWH-Powell-SelwayR-AD/Adint	
2016SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2014-CLWH-Powell-SelwayR-AD	2014-CLWH-Powell-SelwayR-Adint	2014-CLWH-Powell-SelwayR-AD/Adint	
2016YANKFK0	Sawtooth	Yankee Fork	YANKFK	0	YankeeForkSalmonR	2014-SAWT-SAW-YankeeForkSalmonR			
2016YANKFK1	Sawtooth	Yankee Fork	YANKFK	1	YankeeForkSalmonR	2014-SAWT-SAW-YankeeForkSalmonR			
2017CLEARC0	Clearwater Hat.	Clear Cr	CLEARC	0	ClearCr	2015-CLWH-Powell-ClearCr-AD	2015-CLWH-ClearCr-ClearCr-AD		
2017CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2015-CLWH-Powell-ClearCr-AD	2015-CLWH-ClearCr-ClearCr-AD		
2017CLWHNF0	Clearwater Hat.	NF Clearwater	CLWHNF	0	NFClearwaterR	2015-CLWH-DWOR-NFClearwaterR-AD			
2017CLWHNF1	Clearwater Hat.	NF Clearwater	CLWHNF	1	NFClearwaterR	2015-CLWH-DWOR-NFClearwaterR-AD			
2017DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2015-DWOR-DWOR-ClearwaterR			
2017DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2015-DWOR-DWOR-ClearwaterR			
2017KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2015-MCCA-SFSAL-SFSalmonR-SegSmolt			
2017KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2015-MCCA-SFSAL-SFSalmonR-SegSmolt			
2017KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2015-MCCA-SFSAL-SFSalmonR-IntSmolt			
2017KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2015-MCCA-SFSAL-SFSalmonR-IntSmolt			
2017PAHP0	Pahsimeroi	Ponds	PAHP	0	PahsimeroiR	2015-SAWT-PAH-PahsimeroiR-SegSmolt			
2017PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2015-SAWT-PAH-PahsimeroiR-SegSmolt			
2017POWP0	Clearwater Hat.	Powell (summers)	POWP	0	Powell	2015-CLWH-SFSAL-Powell-AD	2015-CLWH-SFSAL-Powell-Adint	2015-CLWH-SFSAL-Powell-AD/Adint	
2017POWP1	Clearwater Hat.	Powell (summers)	POWP	1	Powell	2015-CLWH-SFSAL-Powell-AD	2015-CLWH-SFSAL-Powell-Adint	2015-CLWH-SFSAL-Powell-AD/Adint	
2017RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2015-RAPH-RAPH-RapidR			
2017RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2015-RAPH-RAPH-RapidR			
2017REDP0	Clearwater Hat.	Red	REDP	0	RedR	2015-CLWH-SFCLW-RedR-AD			
2017REDP1	Clearwater Hat.	Red	REDP	1	RedR	2015-CLWH-SFCLW-RedR-AD			
2017SAWT0	Sawtooth	Weir	SAWT	0	UpperSalmonR	2015-SAWT-SAW-UpperSalmonR-SegSmolt			
2017SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2015-SAWT-SAW-UpperSalmonR-SegSmolt			
2017SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2015-CLWH-POWELL-SelwayR-AD	2015-CLWH-POWELL-SelwayR-AD/Adint	2015-CLWH-SFCLW-SelwayR-AD	
2017SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2015-CLWH-POWELL-SelwayR-AD	2015-CLWH-POWELL-SelwayR-AD/Adint	2015-CLWH-SFCLW-SelwayR-AD	
2017YANKFK0	Sawtooth	Yankee Fork	YANKFK	0	YankeeForkSalmonR	2015-SAWT-SAW-YankeeForkSalmonR-Smolt			
2018CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2016-CLWH-ClearCr-ClearCr			
2018CLWHNF0	Clearwater Hat.	NF Clearwater	CLWHNF	0	NFClearwaterR	2016-CLWH-DWOR-NFClearwaterR-AD			
2018CLWHNF1	Clearwater Hat.	NF Clearwater	CLWHNF	1	NFClearwaterR	2016-CLWH-DWOR-NFClearwaterR-AD			
2018DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2016-DWOR-DWOR-ClearwaterR			
2018DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2016-DWOR-DWOR-ClearwaterR			
2018KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2016-MCCA-SFSAL-SFSalmonR-SegSmolt			
2018KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2016-MCCA-SFSAL-SFSalmonR-SegSmolt			
2018KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2016-MCCA-SFSAL-SFSalmonR-IntSmolt			
2018KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2016-MCCA-SFSAL-SFSalmonR-IntSmolt			
2018KOOS0	Kooskia	Clear Cr	KOOS	0	ClearCr	2016-KOOS-SFCLW-ClearCr	2016-KOOS-KOOS-ClearCr		
2018KOOS1	Kooskia	Clear Cr	KOOS	1	ClearCr	2016-KOOS-SFCLW-ClearCr	2016-KOOS-KOOS-ClearCr		
2018PAHP0	Pahsimeroi	Ponds	PAHP	0	PahsimeroiR	2016-PAHH-PAH-PahsimeroiR-SegSmolt			
2018PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2016-PAHH-PAH-PahsimeroiR-SegSmolt			
2018POWP0	Clearwater Hat.	Powell (summers)	POWP	0	Powell	2016-CLWH-SFSAL-Powell-AD	2016-CLWH-Powell-Powell-Adint	2016-CLWH-Powell-Powell-AD	2016-CLWH-Powell-Powell-AD/Adint
2018POWP1	Clearwater Hat.	Powell (summers)	POWP	1	Powell	2016-CLWH-SFSAL-Powell-AD	2016-CLWH-Powell-Powell-Adint	2016-CLWH-Powell-Powell-AD	2016-CLWH-Powell-Powell-AD/Adint
2018RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2016-RAPH-RAPH-RapidR			
2018RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2016-RAPH-RAPH-RapidR			
2018REDP0	Clearwater Hat.	Red	REDP	0	RedR	2016-CLWH-SFCLW-RedR			
2018REDP1	Clearwater Hat.	Red	REDP	1	RedR	2016-CLWH-SFCLW-RedR			
2018SAWT0	Sawtooth	Weir	SAWT	0	UpperSalmonR	2016-SAWT-SAW-UpperSalmonR-SegSmolt			
2018SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2016-SAWT-SAW-UpperSalmonR-SegSmolt			
2018SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2016-CLWH-DWOR-SelwayR-AD	2016-CLWH-DWOR-SelwayR-AD/Adint		
2018SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2016-CLWH-DWOR-SelwayR-AD	2016-CLWH-DWOR-SelwayR-AD/Adint		
2018YANKFK1	Sawtooth	Yankee Fork	YANKFK	1	YankeeForkSalmonR	2016-SAWT-SAW-YankeeForkSalmonR-Smolt			
